Baccalaureate Institution,Current Institution,Field of Study,Year,Status
university of minnesota  twin cities,university of minnesota  twin cities,Chemistry - Analytical,2011,award
university of southern mississippi,university of southern mississippi,Chemistry - Polymer,2011,award
university of new mexico,university of washington,Life Sciences - Molecular Biology,2011,award
university of texas at austin,university of california berkeley,Life Sciences - Developmental Biology,2011,award
vanderbilt university,vanderbilt university,Life Sciences - Biophysics,2011,award
university of wisconsinmadison,purdue university northwest,Life Sciences - Genetics,2011,award
florida international university,florida international university,Engineering - Civil Engineering,2011,award
claremont mckenna college,university of rochester,Chemistry - Organic,2011,award
northwestern university,cornell university,Life Sciences - Biophysics,2011,award
university of washington,montana state university  northern,Geosciences - Geology,2011,award
university of puerto rico,university of washington,Geosciences - Large-scale Dynamics Meteorology,2011,award
university of arizona,duke university,Psychology - Cognitive Neuroscience,2011,award
cornell university,cornell university,Comp/IS/Eng - Human Computer Interaction,2011,award
dixie state college of utah,vanderbilt university,Chemistry - Bio-inorganic,2011,award
university of massachusetts at amherst,university of californiaberkeley,Comp/IS/Eng - Networks and Communications,2011,award
university of west florida,massachusetts institute of technology,Chemistry - Organic,2011,award
hamilton college,hamilton college,Chemistry - Bio-organic,2011,award
university of the district of columbia,university of the district of columbia,Engineering - Bioengineering,2011,award
university of texas at austin,university of washington,Life Sciences - Molecular Biology,2011,award
harvard college president  fellows of,cuny graduate school university center,Life Sciences - Evolutionary Biology,2011,award
kansas state university,university of michigan  ann arbor,Social Sciences - Medical Anthropology,2011,award
university of illinois at chicago,undecided,Social Sciences - Cultural Anthropology,2011,award
university of the district of columbia,university of the district of columbia,Comp/IS/Eng - Graphics and Visualization,2011,award
california state universityfullerton,california state universityfullerton,Engineering - Civil Engineering,2011,award
university of washington,undecided,Life Sciences - Neurosciences,2011,award
sharif university of technology,sharif university of technology,Life Sciences - Neurosciences,2011,award
university of californiaberkeley,university of californiaberkeley,Social Sciences - Economics (except Business Administration),2011,award
western washington university,western washington university,Life Sciences - Neurosciences,2011,award
university of west florida,undecided,Life Sciences - Marine Biology,2011,award
university of california santa barbara,university of wisconsinmadison,Engineering - Chemical Engineering,2011,award
university of washington,cornell university,Social Sciences - Sociology  (except Social Work),2011,award
iowa state university,iowa state university,Engineering - Aeronautical and Aerospace,2011,award
university of washington,university of michigan medical school,Life Sciences - Neurosciences,2011,award
dartmouth college,harvard university,Social Sciences - Archaeology,2011,award
massachusetts institute of technology,massachusetts institute of technology,Engineering - Materials,2011,award
state university of new york system,emory university,Social Sciences - Cultural Anthropology,2011,award
university of san diego,undecided,Life Sciences - Neurosciences,2011,award
university of arizona,university of the district of columbia,Geosciences - Paleoclimate,2011,award
tufts university,university of north carolina at chapel hill,Social Sciences - Science Policy,2011,award
university of oregon,university of california san diego,Chemistry - Inorganic,2011,award
college of charleston,university of south carolina,Life Sciences - Cell Biology,2011,award
george mason university,rutgers university,Social Sciences - Cultural Anthropology,2011,award
xavier university of louisiana,vanderbilt university,Chemistry - Biophysical,2011,award
university of illinois at chicago,university of illinois at chicago,Mathematical Sciences - Topology,2011,award
john brown university,undecided,Geosciences - Chemical Oceanography,2011,award
princeton university,university of california berkeley,Life Sciences - Molecular Biology,2011,award
university of washington,harvard university,Geosciences - Atmospheric Chemistry,2011,award
albion college,university of california davis,Chemistry - other (specify) - Bio-analytical,2011,award
university of denver,university of californiaberkeley,Psychology - Social,2011,award
university of california davis,university of california davis,Life Sciences - Genetics,2011,award
montana state university  northern,university of colorado at boulder,Geosciences - Paleoclimate,2011,award
university of washington,university of the district of columbia,Chemistry - Inorganic,2011,award
university of wisconsinmadison,john brown university,Mathematical Sciences - Algebra or Number Theory,2011,award
