Baccalaureate Institution,Current Institution,Field of Study,Year,Status
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Chemistry - Analytical,2011,award
University of Southern Mississippi,University of Southern Mississippi,Chemistry - Polymer,2011,award
University of New Mexico,University of Washington,Life Sciences - Molecular Biology,2011,award
University of Texas at Austin,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Developmental Biology,2011,award
Vanderbilt University,Vanderbilt University,Life Sciences - Biophysics,2011,award
University of Wisconsin-Madison,Purdue University,Life Sciences - Genetics,2011,award
Florida International University,Florida International University,Engineering - Civil Engineering,2011,award
Claremont McKenna College,University of Rochester,Chemistry - Organic,2011,award
Northwestern University,CORNELL UNIVERSITY,Life Sciences - Biophysics,2011,award
University of Washington,Montana State University,Geosciences - Geology,2011,award
University of Puerto Rico Mayaguez,University of Washington,Geosciences - Large-scale Dynamics Meteorology,2011,award
University of Arizona,Duke University,Psychology - Cognitive Neuroscience,2011,award
CORNELL UNIVERSITY INC,CORNELL UNIVERSITY INC,Comp/IS/Eng - Human Computer Interaction,2011,award
Dixie State College of Utah,Vanderbilt University Medical Center,Chemistry - Bio-inorganic,2011,award
University of Massachusetts Amherst,University of California-Berkeley,Comp/IS/Eng - Networks and Communications,2011,award
University of Florida,Massachusetts Institute of Technology,Chemistry - Organic,2011,award
Hamilton College,Hamilton College,Chemistry - Bio-organic,2011,award
Columbia University,Columbia University,Engineering - Bioengineering,2011,award
University of Texas at Austin,University of Washington,Life Sciences - Molecular Biology,2011,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",CUNY Graduate School University Center,Life Sciences - Evolutionary Biology,2011,award
Kansas State University,University of Michigan Ann Arbor,Social Sciences - Medical Anthropology,2011,award
University of Chicago,Undecided,Social Sciences - Cultural Anthropology,2011,award
Columbia University,Columbia University,Comp/IS/Eng - Graphics and Visualization,2011,award
California State University-Fullerton,California State University-Fullerton,Engineering - Civil Engineering,2011,award
University of Washington,Undecided,Life Sciences - Neurosciences,2011,award
Sharif University of Technology,Sharif University of Technology,Life Sciences - Neurosciences,2011,award
University of California-Berkeley,University of California-Berkeley,Social Sciences - Economics (except Business Administration),2011,award
Washington University,Washington University,Life Sciences - Neurosciences,2011,award
University of Florida,Undecided,Life Sciences - Marine Biology,2011,award
University of California-Santa Barbara,University of Wisconsin-Madison,Engineering - Chemical Engineering,2011,award
University of Washington,Cornell University,Social Sciences - Sociology  (except Social Work),2011,award
Iowa State University,Iowa State University,Engineering - Aeronautical and Aerospace,2011,award
University of Washington,University of Michigan Medical School,Life Sciences - Neurosciences,2011,award
Dartmouth College,Harvard University,Social Sciences - Archaeology,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Materials,2011,award
New York University,Emory University,Social Sciences - Cultural Anthropology,2011,award
University of California San Diego,Undecided,Life Sciences - Neurosciences,2011,award
University of Arizona,Columbia University,Geosciences - Paleoclimate,2011,award
Tufts University,University of North Carolina at Chapel Hill,Social Sciences - Science Policy,2011,award
University of Oregon Eugene,University of California-San Diego,Chemistry - Inorganic,2011,award
College of Charleston,Medical University of South Carolina,Life Sciences - Cell Biology,2011,award
George Mason University,Rutgers University New Brunswick,Social Sciences - Cultural Anthropology,2011,award
Xavier University of Louisiana,Vanderbilt University,Chemistry - Biophysical,2011,award
University of Chicago,University of Chicago,Mathematical Sciences - Topology,2011,award
Brown University,Undecided,Geosciences - Chemical Oceanography,2011,award
PRINCETON UNIVERSITY,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Molecular Biology,2011,award
University of Washington,Harvard University,Geosciences - Atmospheric Chemistry,2011,award
